en,zh,k_en,k_zh,k_min,cos_BGE-EN-large_vs_BGE-ZH-large,cos_BGE-M3-EN_vs_BGE-M3-ZH
database,數據庫,8,8,8,-0.022,0.6229
individually,單獨,8,8,8,-0.022,0.6578
missing,失蹤,8,8,8,-0.022,0.7305
printout,印本,8,8,8,-0.022,0.5952
associate,相聯者,8,8,8,-0.0218,0.6399
correctional services,懲教人員,8,2,2,-0.0218,0.6937
embarkation,上船,8,8,8,-0.0218,0.765
measure,措施,8,8,8,-0.0218,0.6422
passenger service,客運持證人,8,8,8,-0.0218,0.8052
swear,宣誓,8,8,8,-0.0217,0.599
by implication,默示,8,8,8,-0.0217,0.6049
disembarkation,下船,8,8,8,-0.0217,0.7686
markup,標高價,2,2,2,-0.0217,0.6716
seconder,贊同人,8,7,7,-0.0217,0.6986
forward,遠期,8,8,8,-0.0216,0.5594
overdue,逾期未付,8,3,3,-0.0216,0.461
coupon,息票,8,4,4,-0.0216,0.5473
fusion,融合,3,6,3,-0.0216,0.5057
integral,主要,8,8,8,-0.0215,0.5684
inclement,惡劣天氣警告日,8,8,8,-0.0213,0.6338
power,授權書,8,8,8,-0.0212,0.6743
further charge,再進行押記,8,6,6,-0.0212,0.7336
daily,按日計算的失責罰款,8,8,8,-0.0211,0.5783
shipper,付運人,8,8,8,-0.021,0.7301
announce,公布,8,8,8,-0.021,0.7299
resort,憑藉,8,8,8,-0.0209,0.6345
sealed,蓋印副本,8,8,8,-0.0209,0.4693
common,公共,8,8,8,-0.0208,0.5459
reversion,預期的復歸權益,8,5,5,-0.0208,0.4174
suspend,中止,8,8,8,-0.0208,0.6918
autopsy,屍體剖驗,8,8,8,-0.0208,0.7827
simultaneously,同時,8,8,8,-0.0208,0.6488
store,儲存,8,8,8,-0.0208,0.6943
effects,動產,8,8,8,-0.0207,0.4795
unpaid,股份的未繳款額,8,4,4,-0.0207,0.6163
dispatch,派遣,8,8,8,-0.0206,0.6795
inhibition,制止令,5,5,5,-0.0205,0.6671
repo-style transaction,回購形式交易,8,8,8,-0.0205,0.7591
alternate director,候補董事,8,5,5,-0.0204,0.52
ipso facto,因此事實,5,6,5,-0.0204,0.4797
assure,保證,4,8,4,-0.0204,0.5898
hire,出租,8,8,8,-0.0203,0.5299
anchorage,碇泊費,8,2,2,-0.0203,0.529
observe,遵守,8,8,8,-0.0202,0.6887
in conjunction with,連同,8,8,8,-0.0201,0.5668
precise,確切位置,8,2,2,-0.0201,0.4371
redirect,轉遞,2,8,2,-0.0201,0.5705
with reference to,並述明,8,8,8,-0.0201,0.5442
denoting,表示,8,8,8,-0.02,0.5981
materially,有重大分別,8,2,2,-0.02,0.5981
print,印刷品,8,8,8,-0.02,0.7376
hiring agreement,分期付款協議,6,2,2,-0.02,0.6087
survivorship,尚存,4,8,4,-0.0199,0.4049
evaluation,評核,8,8,8,-0.0199,0.6896
evict,逐出,8,8,8,-0.0199,0.6808
nutrition,營養聲稱,6,3,3,-0.0199,0.6269
signal,訊號,8,8,8,-0.0198,0.8001
revision,修改,8,8,8,-0.0198,0.6894
overriding,凌駕,8,8,8,-0.0197,0.7305
inward,移交入境手令,6,3,3,-0.0197,0.5773
incomplete,不完整,8,8,8,-0.0197,0.6828
select,揀選,8,8,8,-0.0197,0.6218
factoring,應收帳融通,6,5,5,-0.0197,0.6427
asset,資產,8,8,8,-0.0196,0.6039
subscription,簽署,8,8,8,-0.0196,0.7025
increment,增薪,8,8,8,-0.0196,0.793
local,地方主管當局,8,2,2,-0.0196,0.6332
pilotage,領港服務,8,8,8,-0.0195,0.5325
